Video_Name	Difficulty_Score    Execution_Score Total_Score	Penalty	Video_length
Ball_001	10.50	8.30	18.80	0.00	92
Ball_002	7.20	4.20	10.80	0.60	93
Ball_003	9.00	6.95	15.95	0.00	90
Ball_004	7.40	6.35	13.75	0.00	91
Ball_005	6.80	4.40	11.20	0.00	92
Ball_006	9.80	8.60	18.40	0.00	92
Ball_007	8.20	5.90	14.05	0.05	93
Ball_008	6.10	4.85	10.95	0.00	92
Ball_009	5.90	5.60	11.50	0.00	89
Ball_010	7.60	5.15	12.70	0.05	93
Ball_011	9.90	8.60	18.50	0.00	91
Ball_012	8.60	6.40	15.00	0.00	93
Ball_013	8.40	7.20	15.60	0.00	92
Ball_014	9.10	7.65	16.75	0.00	91
Ball_015	6.60	5.50	11.50	0.60	92
Ball_016	8.20	4.60	12.80	0.00	93
Ball_017	7.50	7.15	14.65	0.00	92
Ball_018	10.80	8.20	18.95	0.05	94
Ball_019	7.90	6.55	14.45	0.00	91
Ball_020	11.30	8.75	20.05	0.00	92
Ball_021	5.20	2.45	6.95	0.70	94
Ball_023	5.00	4.80	9.80	0.00	91
Ball_024	11.20	9.05	20.25	0.00	91
Ball_025	10.40	7.70	18.10	0.00	91
Ball_026	9.50	7.40	16.90	0.00	91
Ball_028	9.50	7.80	17.30	0.00	92
Ball_029	9.60	7.60	17.20	0.00	92
Ball_031	8.70	7.50	16.20	0.00	92
Ball_032	9.10	6.90	16.00	0.00	91
Ball_033	5.50	5.90	11.40	0.00	91
Ball_034	8.20	6.70	14.90	0.00	92
Ball_035	8.70	6.95	15.65	0.00	92
Ball_036	7.90	6.30	14.20	0.00	93
Ball_037	8.00	6.60	14.55	0.05	95
Ball_040	8.20	7.50	15.70	0.00	93
Ball_041	7.50	5.60	13.10	0.00	93
Ball_043	8.40	7.50	15.85	0.05	93
Ball_044	9.50	7.25	16.75	0.00	92
Ball_045	9.60	7.75	17.35	0.00	91
Ball_046	5.80	5.20	11.00	0.00	91
Ball_047	8.50	7.35	15.85	0.00	91
Ball_049	7.40	6.00	13.10	0.30	93
Ball_050	11.20	8.95	20.15	0.00	92
Ball_051	9.00	7.50	16.50	0.00	92
Ball_052	8.70	7.50	16.20	0.00	91
Ball_053	9.70	7.45	17.10	0.05	95
Ball_054	10.30	8.60	18.90	0.00	91
Ball_055	7.00	6.40	13.40	0.00	93
Ball_056	11.00	8.30	19.30	0.00	93
Ball_057	6.40	6.10	12.50	0.00	91
Ball_059	10.90	8.50	19.40	0.00	93
Ball_061	6.70	5.80	12.50	0.00	91
Ball_062	8.90	6.30	15.20	0.00	90
Ball_064	8.30	6.95	15.25	0.00	94
Ball_065	6.30	4.60	10.90	0.00	95
Ball_066	9.70	7.55	17.25	0.00	91
Ball_068	11.20	8.05	19.25	0.00	92
Ball_069	5.10	5.90	10.90	0.10	95
Ball_070	8.20	6.70	14.90	0.00	90
Ball_071	8.20	5.95	14.15	0.00	93
Ball_072	8.80	8.30	17.10	0.00	92
Ball_073	8.10	6.75	14.85	0.00	91
Ball_075	5.50	4.85	9.75	0.60	91
Ball_076	6.90	6.30	13.20	0.00	88
Ball_077	8.40	6.62	15.03	0.00	91
Ball_079	6.30	5.60	11.90	0.00	93
Ball_080	8.70	7.70	16.40	0.00	90
Ball_081	6.00	5.75	11.75	0.00	92
Ball_082	6.50	5.30	11.80	0.00	90
Ball_083	9.30	8.15	17.45	0.00	92
Ball_085	9.10	6.70	15.80	0.00	89
Ball_086	8.90	6.50	15.40	0.00	89
Ball_087	7.60	6.15	13.65	0.10	94
Ball_091	6.10	3.05	8.85	0.30	92
Ball_094	9.00	7.60	16.60	0.00	93
Ball_095	8.70	7.65	16.30	0.05	95
Ball_096	7.40	5.20	12.60	0.00	93
Ball_097	6.40	4.85	10.65	0.60	95
Ball_098	6.50	6.25	12.75	0.00	92
Ball_100	7.20	5.15	12.35	0.00	96
Ball_101	7.90	5.65	13.55	0.00	90
Ball_102	10.10	7.45	17.55	0.00	92
Ball_103	5.00	4.35	9.30	0.05	94
Ball_104	7.90	6.40	14.30	0.00	92
Ball_105	6.90	6.45	13.35	0.00	92
Ball_107	7.40	6.55	13.95	0.00	92
Ball_108	7.10	6.65	13.75	0.00	92
Ball_109	6.40	4.60	11.00	0.00	92
Ball_110	7.70	6.00	13.70	0.00	92
Ball_112	8.80	6.90	15.70	0.00	91
Ball_113	5.60	4.70	10.30	0.00	90
Ball_114	7.70	6.65	14.35	0.00	91
Ball_118	9.00	7.20	16.15	0.05	95
Ball_119	3.90	4.30	8.20	0.00	90
Ball_121	8.80	7.20	16.00	0.00	92
